index,start_period_ns,edg_read_ns,command_ns,wait_ns,wake_lateness_ns,cycle_work_ns
179,8000827,0,44000,7954855,58959,44296
180,7999373,0,45259,7954253,58332,45528
181,8000003,0,45324,7955577,58335,45667
182,8001466,0,43269,7954920,59801,43593
183,7998744,0,42137,7957549,58545,42397
184,8000169,0,50778,7949411,58714,51176
185,8000809,0,43611,7957087,59523,43917
186,8001226,0,41861,7956549,60749,42203
187,7998985,0,41536,7957642,59734,41841
188,7999706,0,40694,7958484,59440,40962
189,7999670,0,44435,7964300,59110,44740
190,8009262,0,41629,7948428,68372,41991
191,7990641,0,46186,7953828,59013,46491
192,8000541,0,40333,7958827,59554,40639
193,7999688,0,45232,7949948,59242,45500
194,7995633,0,23834,7977104,54875,23991
195,8001234,0,21537,7977512,56109,21713
196,7999364,0,24111,7977244,55473,24287
197,8001661,0,21537,7977587,57134,21713
198,7999438,0,22083,7977151,56572,22241
199,7999531,0,23241,7976003,56103,23398
200,7999549,0,22388,7977216,55652,22546
201,7999911,0,23769,7976225,55563,23926
202,8000290,0,27852,8120975,55853,28010
203,8149133,0,28750,7822291,204986,28926
204,7851346,0,23343,7975457,56332,23491
205,7999096,0,21981,7978735,55428,22148
206,8001022,0,21612,7978391,56450,21797
207,8000336,0,23870,7974541,56786,24047
208,7998717,0,23241,7976365,55503,23398
209,7999911,0,22361,7978541,55414,22546
210,8001226,0,21676,7978864,56640,21870
211,8000873,0,22342,7975245,57513,22518
212,7997911,0,24444,7979123,55424,24620
213,8003891,0,22612,7974596,59315,22797
214,7997541,0,23574,7975911,56856,23769
215,7999828,0,25982,7972596,56684,26148
216,7998883,0,22593,7977318,55567,22750
217,8000216,0,22240,7978411,55783,22416
218,8000975,0,21232,7977893,56758,21408
219,7999439,0,27537,7973133,56197,27704
220,8000976,0,26305,7971245,57173,26471
221,7997864,0,22102,7990143,55037,22259
222,8012550,0,26602,7960708,67587,26787
223,7987661,0,30796,7976521,55248,30963
224,8007780,0,272972,7718865,63028,274815
225,7994689,0,43343,7954597,57717,43528
226,7998291,0,31806,7974253,56008,31981
227,8006439,0,55000,7941429,62447,55268
228,7997049,0,46703,7951985,59496,46963
229,7999170,0,47435,7951772,58666,47704
230,7999698,0,48833,7951013,58364,49093
231,8000328,0,46102,7953012,58692,46444
232,7999641,0,46481,7953355,58333,46797
233,8000374,0,44092,7956114,58707,44408
234,8000745,0,53158,7947587,59452,53472
235,8001281,0,41806,7959465,60733,42120
236,8001808,0,45019,7950819,62541,45278
237,7996319,0,46629,7953439,58860,46907
238,8000559,0,41889,7958893,59419,42194
239,8001300,0,43213,7956058,60719,43481
240,7999752,0,44223,7953161,60471,44584
241,7997967,0,42797,7956892,58438,43093
242,8000207,0,42925,7958217,58645,43223
243,8001671,0,42684,7950708,60316,42943
244,7993836,0,23592,7977847,54152,23768
245,8001763,0,24306,7975439,55915,24481
246,8000059,0,20389,7980587,55974,20546
247,8001272,0,22638,7976272,57246,22804
248,7999216,0,22936,7975929,56462,23111
249,7999188,0,22037,7977494,55650,22204
250,7999837,0,23537,7977391,55487,23713
251,8001252,0,22954,7975040,56739,23130
252,7998327,0,24425,7978030,55066,24612
253,8002781,0,22648,7974513,57847,22851
254,7997503,0,24352,7977013,55350,24509
255,8001661,0,21379,7976874,57011,21555
256,7998568,0,24602,7975678,55579,24759
257,8000576,0,21982,7977058,56155,22167
258,7999355,0,22620,7977096,55510,22778
259,8000022,0,23352,7976447,55532,23528
260,8000114,0,23639,7975919,55646,23797
261,7999873,0,25843,7978438,55519,26019
262,8004920,0,82787,7913106,60439,83185
263,7996429,0,27324,7974837,56868,28130
264,8003115,0,84860,7909781,59983,85656
265,7995567,0,53018,7946643,55550,53194
266,7999975,0,40963,7959124,55525,41121
267,8000393,0,31010,7974966,55918,31722
268,8006827,0,37148,7955827,62745,37315
269,7993799,0,35472,7965013,56544,36240
270,8001401,0,29584,7967021,57945,29741
271,7996902,0,27204,7973809,54847,27351
272,8001318,0,36834,7964780,56165,37018
273,8001956,0,37260,7961475,58121,37435
274,7999077,0,46620,7953559,57198,46852
275,8000587,0,40453,7975800,57785,40685
276,8016679,0,58443,7927291,74464,58693
277,7986187,0,44241,7954355,60651,44528
278,7999106,0,43778,7954522,59757,44037
279,7998771,0,44074,7956512,58528,44426
280,8001160,0,46602,7953336,59688,46898
281,8000458,0,42537,7955911,60146,42888
282,7999022,0,50093,7949846,59168,50379
283,8000448,0,44232,7955892,59616,44546
284,8000660,0,43565,7954725,60276,43880
285,7998837,0,43130,7956208,59113,43481
286,7999911,0,44083,7957087,59024,44352
287,8001670,0,52463,7947632,60694,52722
288,8000577,0,45371,7951856,61271,45685
289,7997772,0,43037,7955736,59043,43287
290,7999263,0,43491,7956642,58306,43759
291,8000623,0,46203,7953754,58929,46528
292,8000504,0,41639,7958735,59433,41963
293,8000920,0,45834,7948012,60353,46139
294,7994336,0,28482,7972559,54689,28648
295,8001346,0,24241,7974911,56035,24426
296,7999476,0,25111,7975939,55511,25296
297,8001374,0,22935,7977114,56885,23120
298,8000382,0,26352,7971837,57267,26528
299,7998504,0,25741,7974911,55771,25907
300,8000967,0,25102,7974504,56738,25277
301,7999929,0,26278,7972280,56667,26463
302,7998873,0,22556,7977188,55540,22732
303,8000059,0,22148,7977364,55599,22343
304,7999847,0,23074,7977791,55446,23268
305,8001207,0,22982,7976253,56653,23148
306,7999540,0,28796,7971124,56193,28953
307,8000216,0,22407,7976383,56409,22565
308,7999087,0,22732,7977096,55496,22908
309,8000143,0,22953,7977235,55639,23110
310,8000493,0,22426,7977060,56132,22583
311,7999781,0,24083,7975874,55913,24278
